mlb_id,player_name,role,team,age,war,war_off,war_def,pa,games,ops_plus,runs_bat,runs_field,games_started,ip,era_plus
642715,Willy Adames,hitter,SFG,30.0,1.51,2.16,0.09,505.0,121,98.604,0.59,-3.0,,,
642851,Austin Wynns,hitter,TEX,35.0,-0.17,-0.38,0.36,89.0,34,10.367,-8.69,0.0,,,
643217,Andrew Benintendi,hitter,CHW,31.0,0.03,0.32,-1.41,452.0,136,98.406,-0.89,-2.0,,,
643289,Mauricio Dubón,hitter,ATL,31.0,2.44,1.88,0.73,598.0,148,95.262,-2.92,1.0,,,
643376,Danny Jansen,hitter,TEX,31.0,0.71,0.5,0.6,206.0,61,90.23,-2.64,1.0,,,
643396,Isiah Kiner-Falefa,hitter,BOS,31.0,1.41,0.68,0.96,169.0,61,82.105,-3.3,7.0,,,
643446,Jeff McNeil,hitter,OAK,34.0,0.5,0.58,-0.01,497.0,138,88.041,-9.16,1.0,,,
644433,Chadwick Tromp,hitter,BAL,31.0,-0.54,-0.54,0.11,51.0,21,-3.484,-7.09,0.0,,,
645277,Ozzie Albies,hitter,ATL,29.0,1.43,1.38,0.58,661.0,156,91.017,-10.87,2.0,,,
645302,Víctor Robles,hitter,SEA,29.0,-0.09,0.12,-0.33,149.0,65,82.525,-2.17,-3.0,,,
645305,Ali Sánchez,hitter,NYY,29.0,-0.02,0.08,0.1,81.0,47,64.921,-3.0,0.0,,,
646240,Rafael Devers,hitter,SFG,29.0,3.45,3.6,-1.06,633.0,148,140.224,26.43,1.0,,,
647304,Josh Naylor,hitter,SEA,29.0,0.43,1.13,-1.4,624.0,146,98.147,0.31,-6.0,,,
649966,Luis Urías,hitter,TOR,29.0,0.49,0.28,0.26,59.0,26,118.144,0.89,2.0,,,
650333,Luis Arraez,hitter,PHI,29.0,3.01,3.36,0.17,644.0,148,114.524,9.15,-3.0,,,
650391,Eloy Jiménez,hitter,TOR,29.0,-0.1,-0.1,-0.08,35.0,12,77.641,-1.03,0.0,,,
650402,Gleyber Torres,hitter,DET,29.0,2.01,1.69,0.46,415.0,95,105.747,4.26,3.0,,,
650489,Willi Castro,hitter,COL,29.0,1.02,1.56,-0.14,477.0,120,94.645,-3.88,-4.0,,,
650490,Yandy Díaz,hitter,TBR,34.0,2.58,2.55,-1.28,664.0,149,125.151,19.06,0.0,,,
650559,Bryan De La Cruz,hitter,PHI,29.0,0.12,0.13,-0.14,74.0,30,110.549,1.15,0.0,,,
650859,Luis Rengifo,hitter,SDP,29.0,0.6,0.52,0.07,354.0,95,79.06,-9.22,2.0,,,
650968,Yohel Pozo,hitter,BAL,29.0,-0.1,0.0,-0.08,55.0,35,75.268,-0.55,0.0,,,
655316,Andruw Monasterio,hitter,BOS,29.0,0.76,0.94,0.07,329.0,101,91.766,-3.38,-2.0,,,
656305,Matt Chapman,hitter,SFG,33.0,2.63,1.19,1.67,352.0,84,95.631,-0.68,13.0,,,
656413,Stuart Fairchild,hitter,SEA,30.0,0.07,0.07,-0.01,27.0,15,69.713,-0.25,0.0,,,
656484,Tristan Gray,hitter,MIN,30.0,-0.74,0.08,-0.54,188.0,66,65.883,-8.04,-7.0,,,
656537,Derek Hill,hitter,PHI,30.0,1.38,0.66,0.48,212.0,113,99.986,0.59,4.0,,,
656555,Rhys Hoskins,hitter,CLE,33.0,-0.85,0.06,-1.47,317.0,95,93.011,-2.09,-9.0,,,
656577,Alex Jackson,hitter,MIN,30.0,0.37,0.46,0.02,73.0,33,110.249,0.25,0.0,,,
656582,Connor Joe,hitter,SEA,33.0,0.05,0.05,-0.07,45.0,21,73.865,-0.57,0.0,,,
656716,Zach McKinstry,hitter,DET,31.0,1.47,0.08,1.51,416.0,125,64.283,-11.98,7.0,,,
656775,Cedric Mullins,hitter,TBR,31.0,0.72,0.17,0.91,483.0,131,74.037,-16.12,6.0,,,
656811,Ryan O'Hearn,hitter,PIT,32.0,0.14,0.89,-1.36,429.0,104,107.72,3.76,-5.0,,,
656941,Kyle Schwarber,hitter,PHI,33.0,2.75,2.81,-1.32,674.0,150,128.882,20.6,0.0,,,
656976,Pavin Smith,hitter,ARI,30.0,-0.68,-0.67,-0.24,106.0,35,50.63,-6.65,1.0,,,
657041,Lane Thomas,hitter,ATL,30.0,0.53,1.22,-0.79,374.0,118,98.11,-0.13,-8.0,,,
657136,Connor Wong,hitter,BOS,30.0,0.41,0.5,0.37,233.0,74,85.846,-4.42,2.0,,,
657656,Ramón Laureano,hitter,SDP,31.0,0.06,0.17,-0.3,206.0,53,84.313,-4.75,0.0,,,
657675,Rudy Martin,hitter,TOR,30.0,-0.05,-0.05,-0.01,3.0,2,3.093,-0.23,0.0,,,
657757,Gavin Sheets,hitter,SDP,30.0,-0.11,0.23,-0.98,412.0,123,96.272,-2.42,-3.0,,,
660162,Yoán Moncada,hitter,LAA,31.0,-0.22,0.08,-0.24,130.0,41,75.719,-3.3,-2.0,,,
660271,Shohei Ohtani,hitter,LAD,31.0,3.36,3.41,-1.16,596.0,130,145.88,29.05,0.0,,,
660644,Vidal Bruján,hitter,NYM,28.0,-0.07,-0.18,0.12,13.0,9,-24.814,-2.07,1.0,,,
660670,Ronald Acuña Jr.,hitter,ATL,28.0,1.75,1.99,-0.64,454.0,103,122.767,11.27,-1.0,,,
660688,Keibert Ruiz,hitter,WSN,27.0,2.2,1.82,1.05,344.0,101,109.513,3.42,0.0,,,
660710,Rodolfo Durán,hitter,SDP,28.0,-0.1,-0.2,0.3,91.0,38,46.767,-6.26,1.0,,,
660821,Jesús Sánchez,hitter,ARI,28.0,-1.11,-0.09,-1.52,312.0,104,97.282,-3.0,-7.0,,,
660844,Leo Rivas,hitter,SEA,28.0,-0.26,-0.26,0.15,139.0,47,37.054,-9.13,-1.0,,,
661388,William Contreras,hitter,MIL,28.0,2.8,2.95,0.66,620.0,142,110.467,6.34,-2.0,,,
661531,Brian Serven,hitter,OAK,31.0,0.06,-0.06,0.25,80.0,27,67.583,-3.75,1.0,,,
662139,Daulton Varsho,hitter,HOU,29.0,0.78,0.76,0.44,526.0,140,76.274,-16.21,4.0,,,
663330,Jahmai Jones,hitter,BOS,28.0,-0.26,-0.28,-0.63,168.0,90,94.922,-1.04,0.0,,,
663368,Blake Perkins,hitter,MIL,29.0,0.0,-0.2,0.15,101.0,55,41.428,-5.28,0.0,,,
663457,Lars Nootbaar,hitter,ARI,28.0,0.48,0.6,-0.48,311.0,85,102.475,0.62,1.0,,,
663494,Bryan Torres,hitter,STL,28.0,0.05,0.26,-0.38,180.0,71,89.128,-1.75,1.0,,,
663538,Nico Hoerner,hitter,CHC,29.0,2.23,2.18,0.76,666.0,153,85.285,-8.2,1.0,,,
663584,Hayden Senger,hitter,NYM,29.0,-0.09,-0.09,0.04,17.0,7,25.232,-1.75,0.0,,,
663586,Austin Riley,hitter,ATL,29.0,0.82,0.65,0.59,606.0,153,78.693,-16.64,-1.0,,,
663604,Brandon Lockridge,hitter,MIL,29.0,0.25,0.26,-0.11,111.0,38,84.596,-1.54,0.0,,,
663609,Luken Baker,hitter,ARI,29.0,-0.05,-0.05,-0.01,5.0,3,11.941,-0.59,0.0,,,
663611,Nick Madrigal,hitter,TBR,29.0,0.56,0.23,0.36,63.0,19,97.577,0.54,3.0,,,
